Numer_zgloszenia;Numer_prawa_wylacznego;Data_pierwszenstwa;Data_zgloszenia;Numer_BUP;Data_Publikacji_BUP;Numer_WUP;Data_Publikacji_WUP;Tytul;Uprawnieni;Tworcy;Pelnomocnicy;Klasyfikacja_MKP;Status_sprawy;
277304;158494;;1989-01-20;15/1990;1990-07-23;09/1992;1992-09-30;Pralnica bębnowa;FABRYKA MASZYN PRALNICZYCH "PRAMA";GAŁĘZA KAZIMIERZ;;D06F29/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277305;153308;;1989-01-20;22/1989;1989-10-30;03/1991;1991-03-29;Sprężysty bęben glebogryzarki;POLITECHNIKA BIAŁOSTOCKA;GÓRAL WALDEMAR ROSZCZENKO JANUSZ;;A01B33/14;Prawo wyłączne wygasło po okresie, na jaki zostało udzielone;
277306;;;1989-01-20;18/1990;1990-09-03;;;Złączka hydrauliczna z gwintem;DULL LECH;DULL LECH;;F16L;Decyzja o umorzeniu postępowania;
277307;;;1989-01-20;15/1990;1990-07-23;;;Układ mocowania papieru do drukarek mikrokomputerowych;CZAPSKI WŁADYSŁAW;CZAPSKI WŁADYSŁAW;;G06K;Decyzja o umorzeniu postępowania;
277308;159857;;1989-01-20;15/1990;1990-07-23;01/1993;1993-01-29;Sposób ciągłej kontroli pracy noszonego mikrodozownika infuzyjnego;POLSKA AKADEMIA NAUK INSTYTUT BIOCYBERNETYKI I INŻYNIERII BIOMEDYCZNEJ;WÓJCICKI JAN LILPOP BOGUSŁAW ZIEMBICKI MAREK BIELAWSKI STANISŁAW;Wojtas-Słodownik Renata;A61M5/142 A61M5/20 F04B51/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277309;158019;;1989-01-20;15/1990;1990-07-23;07/1992;1992-07-31;Sposób spiekania narzędzi metalowo-diamentowych oraz urządzenie do spiekania narzędzi metalowo-diamentowych;POLITECHNIKA ŁÓDZKA;MARCINIAK ANDRZEJ NOWACKI JERZY KACZMAREK ZDZISŁAW LEWANDOWSKI JÓZEF SUJECKI JERZY;;B22F3/16;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277310;157628;;1989-01-20;15/1990;1990-07-23;06/1992;1992-06-30;Amortyzator hydrauliczny, zwłaszcza dla nadwozia koparki;FABRYKA MASZYN GÓRNICTWA ODKRYWKOWEGO "FAMAGO" SPÓŁKA AKCYJNA;WOCKA NORBERT SAPKOWSKI WACŁAW;;F16F9/44 B60G17/08;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277312;;;1989-01-21;15/1990;1990-07-23;;;Sposób otrzymywania kompozytów typu węgiel - węgiel;POLITECHNIKA ŚLĄSKA IM. W. PSTROWSKIEGO;HYLA IZABELLA ŚLEDZIONA JÓZEF MYALSKI JERZY WĘGRZYNIAK STANISŁAW;Ośrodek d/s Wynalazczości i Ochrony Patentowej Politechniki Śląskiej;B22F;Decyzja o umorzeniu postępowania;
277313;161122;;1989-01-21;15/1990;1990-07-23;05/1993;1993-05-31;Sposób wytwarzania kompozytu o osnowie z aluminium lub jego stopów zbrojonych;POLITECHNIKA ŚLĄSKA;HYLA IZABELLA ŚLEZIONA JÓZEF MYALSKI JERZY WĘGRZYNIAK STANISŁAW;Ziółkowska Urszula;C22C21/00 C22C1/09 C22C32/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277314;159322;;1989-01-21;15/1990;1990-07-23;12/1992;1992-12-31;Przyrząd do mocowania elementów płaskich, zwłaszcza noży kombajnów węglowych, poddawanych obróbce;TURSKI LESZEK;TURSKI LESZEK;;B23C3/00 B25B1/02 B23B27/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
