Numer_zgloszenia;Numer_prawa_wylacznego;Data_pierwszenstwa;Data_zgloszenia;Numer_BUP;Data_Publikacji_BUP;Numer_WUP;Data_Publikacji_WUP;Tytul;Uprawnieni;Tworcy;Pelnomocnicy;Klasyfikacja_MKP;Status_sprawy;
277554;158843;;1989-02-03;16/1990;1990-08-06;10/1992;1992-10-30;Siłownik pneumatyczny dwustronnego działania;OŚRODEK BADAWCZO-ROZWOJOWY PODSTAW TECHNOLOGII I KONSTRUKCJI MASZYN;LENCZEWSKI-SAMOTYJA JERZY HRYNKIEWICZ ALEKSANDER;Bargieł Jerzy;F15B15/14;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277555;158844;;1989-02-03;16/1990;1990-08-06;10/1992;1992-10-30;Urządzenie sitowe;INSTYTUT MASZYN SPOŻYWCZYCH;ZBIEĆ TADEUSZ KRET RYSZARD LINDNER MARIA;;B07B1/14;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277556;;;1989-02-03;16/1990;1990-08-06;;;Urządzenie dopalające;WALCZAK STANISŁAW;WALCZAK STANISŁAW;;F23L;Decyzja o umorzeniu postępowania;
277557;;;1989-02-03;16/1990;1990-08-06;;;Układ do rekultywacji jezior;STACH JERZY STACH MACIEJ;STACH JERZY STACH MACIEJ;;C02F;Decyzja o umorzeniu postępowania;
277558;153708;;1989-02-03;23/1989;1989-11-13;05/1991;1991-05-31;Przetwornik odchyłki częstotliwości od wartości znamionowej;WYŻSZA SZKOŁA MORSKA;MINDYKOWSKI JANUSZ;Radoman Zofia;G01R23/06 G01R23/15;Prawo wyłączne wygasło po okresie, na jaki zostało udzielone;
277559;;;1989-02-03;16/1990;1990-08-06;;;Sposób i urządzenie do pomiaru wydłużeń tkaninowej taśmy przenośnikowej zwłaszcza w badaniu jej własności dynamicznych;POLITECHNIKA ŚLĄSKA;ANTONIAK JERZY LUTYŃSKI ALEKSANDER;Ośrodek d/s Wynalazczości i Ochrony Patentowej Politechniki Śląskiej;G01B G01N;Decyzja o umorzeniu postępowania;
277560;;;1989-02-03;16/1990;1990-08-06;;;Sposób oznaczania wytrzymałości na rozciąganie przenośnikowych taśm tkaninowych;POLITECHNIKA ŚLĄSKA IM. W. PSTROWSKIEGO;OPILSKI ALEKSANDER WITOS FRANCISZEK LUTYŃSKI ALEKSANDER;Ośrodek d/s Wynalazczości i Ochrony Patentowej Politechniki Śląskiej;G01N;Decyzja o umorzeniu postępowania;
277561;;;1988-09-13;15/1990;1990-07-23;;;Układ zabezpieczający silniki elektryczne przed spadkiem obciążenia;ZAKŁADY PŁYT WIÓROWYCH;STOCHEL ZBIGNIEW BIEGANEK JAN;;H02H;Decyzja o umorzeniu postępowania;
277562;160157;;1989-01-31;16/1990;1990-08-06;02/1993;1993-02-26;Przedział drabinowy szybu;ZAKŁAD ROBÓT GÓRNICZYCH "CENTRUM";KOSTA EUGENIUSZ ŚMIAŁEK ZDZISŁAW NOWAK ZENON ZIMOLĄG MAREK SŁOTA EMIL JANIK EUGENIUSZ COP STANISŁAW;;E21D7/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277563;160158;;1989-02-02;16/1990;1990-08-06;02/1993;1993-02-26;Sposób otrzymywania inhibitora korozji;INSTYTUT CIĘŻKIEJ SYNTEZY ORGANICZNEJ "BLACHOWNIA";DEJNEGA BRONISŁAW KRASNODĘBSKI ZBIGNIEW SOSNOWSKI MARIAN ROLNIK KRYSTYNA ŻMIJEWSKA BOŻENA;;C10M133/04;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277564;;;1989-02-02;17/1990;1990-08-20;;;Urządzenie do przeciskania rur w gruncie;INŻYNIERSKA SPÓŁDZIELNIA PRACY "INNOWACJA";GÓRZNY LESZEK;;E02F E02D;Decyzja o umorzeniu postępowania;
277565;;;1989-02-02;23/1989;1989-11-13;;;Sposób wytwarzania rdzeni do transporterów zwłaszcza dla maszyn górniczych;ŻYRARDOWSKIE ZAKŁADY TKANIN TECHNICZNYCH IM. M. KASPRZAKA;ROMALSKI WITOLD KOWALEWSKI STANISŁAW PIOTROWSKI JAN SZREDZKI JERZY MOCZULSKI ANTONI STASIŃSKI ANDRZEJ;;;Decyzja o umorzeniu postępowania;
277566;160414;;1989-02-02;02/1990;1990-01-22;05/1993;1993-05-31;Nadpowierzchniowy natleniacz wzgłębnych wód stojących;DAUN FRYDERYK W.;DAUN FRYDERYK W.;;C02F7/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277567;153433;;1989-02-02;23/1989;1989-11-13;04/1991;1991-04-30;Zespół napędowy zabawki ruchowej, szczególnie w postaci helikoptera;BULIKOWSKI JERZY;BULIKOWSKI JERZY;;A63G31/00 A63H27/04;Prawo wyłączne wygasło po okresie, na jaki zostało udzielone;
277568;;;1989-02-02;18/1990;1990-09-03;;;Sposób wykonywania koła rowerowego z pełnymi tarczami;JAROSŁAW ZIELIŃSKI;ZIELIŃSKI JAROSŁAW;;B32B;Decyzja o umorzeniu postępowania;
277569;158845;;1989-02-02;16/1990;1990-08-06;10/1992;1992-10-30;Urządzenie do wytracania energii kinetycznej naczyń wydobywczych w belkach odbojowych szybu kopalni głębinowej;KOPALNIA WĘGLA KAMIENNEGO "MORCINEK";BUCIOR JAN SALA MARIAN GAWLIK ARKADIUSZ KLUGER ADAM KONIECZNY STEFAN MENCEL ZDZISŁAW KUBICKI ANTONI;;B66B5/16;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277570;159860;;1989-02-02;17/1990;1990-08-20;01/1993;1993-01-29;Obudowa zmechanizowana;FABRYKA ZMECHANIZOWANYCH OBUDÓW ŚCIANOWYCH "FAZOS" KOPALNIA WĘGLA KAMIENNEGO "CZECZOT";ZIĘBA ALEKSANDER SZEWCZYK STANISŁAW GĄSIORCZYK LUDWIK TYTKO KRZYSZTOF KASPRZYK KRZYSZTOF GRZYWA STANISŁAW KORZENIOWSKI SZCZEPAN BOGUS RYSZARD FLAK MAREK ANCZOK HUBERT BRODZIAK ZYGFRYD KWIECIŃSKI JERZY JANY KRYSTIAN RURAŃSKI JERZY;F-ka Zmechanizowanych Obudów Ścianowych "FAZOS";E21D23/06;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277571;160522;;1989-02-02;20/1989;1989-10-02;05/1993;1993-05-31;Sposób wzbogacania rud, zwłaszcza rud miedzi;KOMBINAT GÓRNICZO-HUTNICZY MIEDZI ZAKŁAD DOŚWIADCZALNY;PIENIĄDZ ZBIGNIEW DOBROWOLSKI LESZEK SZPAKOWSKI LESZEK KALINOWSKI ANDRZEJ SZYLKO JAN ZIOMEK MARIAN STRÓZIK LESZEK;;B03B7/00 B03B9/00 B03D1/08;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277572;159337;;1989-02-03;24/1990;1990-11-26;12/1992;1992-12-31;Sposób utylizacji oleju odpadowego z walcowni blach i urządzenie do utylizacji oleju odpadowego z walcowni blach;AKADEMIA ROLNICZA IM. H. KOŁŁĄTAJA;RUTKOWSKI KAZIMIERZ KOKOSZKA KAZIMIERZ BORCZ JAN KLOC TADEUSZ GĄSKA JÓZEF;Korzeniowski Zbigniew;C10L1/04;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277573;160575;;1989-02-03;16/1990;1990-08-06;05/1993;1993-05-31;Układ testera elektronicznego do oceny stanu technicznego wirujących zespołów maszyn;AKADEMIA ROLNICZO-TECHNICZNA;PROCH WALDEMAR MICHALSKI RYSZARD;;G01M13/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277574;159338;;1989-02-03;16/1990;1990-08-06;12/1992;1992-12-31;Sposób otrzymywania emulsji dla przemysłu spożywczego i paszowego;AKADEMIA ROLNICZO-TECHNICZNA;LEMAN JACEK;;B01F17/30 A23J3/02;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277575;;;1989-02-03;24/1990;1990-11-26;;;Sposób otrzymywania suspensji powierzchniowo-czynnych;POLITECHNIKA GDAŃSKA;ZWIERZYKOWSKI WŁODZIMIERZ MARCINKIEWICZ-SALMONOWICZ JANINA GÓRSKA ANNA MURAWSKI ROMAN BRAMBOR ANDRZEJ MACISIAK JAN WIŚNIEWSKI KRZYSZTOF;Politechnika Gdańska Ośrodek Ochrony Patentowej;C07B C11D;Decyzja o umorzeniu postępowania;
277576;157630;;1989-02-03;22/1990;1990-10-29;06/1992;1992-06-30;Wypełnienie pakietowe do aparatów kolumnowych;POLITECHNIKA WROCŁAWSKA;FILIP STANISŁAW KOWALCZYK KAZIMIERZ;Guzikowska Dorota;B01D53/18 B01D3/26 B01J19/30;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277577;;;1989-02-03;16/1990;1990-08-06;;;Radioacyjne urządzenie chłodzące;POLITECHNIKA WROCŁAWSKA;JANUSZEWSKI JÓZEF;Politechnika Wrocławska Dział WynalazczoSci i Ochrony Patentowej;F25B F24F;Decyzja o odmowie udzielenia prawa wyłącznego;
277578;;;1989-02-03;16/1990;1990-08-06;;;Sposób otrzymywania azotanu, chlorku lub siarcznu niklawego z odpadów zawierających katalizator Raneya;UNIWERSYTET WROCŁAWSKI;MIKULSKI TEOFIL;;C01G;Decyzja o umorzeniu postępowania;
277579;;;1989-02-03;16/1990;1990-08-06;;;Sposób otrzymywania azotanu, chlorku lub siarczanu kobaltowego z odpadów jakie powstają przy produkcji sykatyw;UNIWERSYTET WROCŁAWSKI;MIKULSKI TEOFIL;;C01G;Decyzja o umorzeniu postępowania;
277580;159861;;1989-02-03;17/1990;1990-08-20;01/1993;1993-01-29;Sposób koncentrowania kobaltu zawartego w masie czynnej stosowanej do ogniw zasadowych;UNIWERSYTET WROCŁAWSKI;MIKULSKI TEOFIL;;H01M6/52 C22B7/00 C01G53/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277581;;;1989-02-03;17/1990;1990-08-20;;;Sposób otrzymywania koncentratu kobaltowo-niklowego z masy czynnej stosowanej w ogniwach zasadowych niklowo-cynkowych;UNIWERSYTET WROCŁAWSKI;MIKULSKI TEOFIL;;H01H C01G;Decyzja o umorzeniu postępowania;
277582;;;1989-02-03;16/1990;1990-08-06;;;Sposób wykorzystania chromu /VI/ zawartego w kąpieli po niklowaniu do utleniania żelaza /II/w procesie oczyszczania surowego siarczanu niklu;UNIWERSYTET WROCŁAWSKI;MIKULSKI TEOFIL;;C01G C25D;Decyzja o umorzeniu postępowania;
277583;153663;;1989-02-03;23/1989;1989-11-13;05/1991;1991-05-31;Przetwornik względnej różnicy częstotliwości;WYŻSZA SZKOŁA MORSKA;MINDYKOWSKI JANUSZ;Radoman Zofia;G01R23/06 G01R23/15;Prawo wyłączne wygasło po okresie, na jaki zostało udzielone;
277584;156728;;1989-02-03;16/1990;1990-08-06;04/1992;1992-04-30;Układ do identyfikacji szwów;CENTRALNY OŚRODEK BADAWCZO-ROZWOJOWY MASZYN WŁÓKIENNICZYCH "POLMATEX-CENARO";NOWACKI JANUSZ;Kempa Zenona;B65H26/00 D02H13/00;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277585;;;1989-02-03;16/1990;1990-08-06;;;Sposób regeneracji panewek i wytwarzania kompozytu do ich regeneracji;PKP ZAKŁADY NAPRAWCZE TABORU KOLEJOWEGO;GĄSIOROWSKI JERZY JASIŃSKI TADEUSZ ŻURAWSKI ZYGFRYD GRODZKI RYSZARD WASILEWSKI WŁADYSŁAW WITEK JÓZEF BRENNEK JERZY MILEWSKI WITOLD KOZŁOWSKI MAREK LUDYŃSKI ZBIGNIEW MAZUR ANDRZEJ STYCZYŃSKI LUDWIK;;B23P;Decyzja o umorzeniu postępowania;
277586;;;1989-02-03;16/1990;1990-08-06;;;Rampa do załadunku lub rozładunku zwierząt;KOMBINAT PAŃSTWOWYCH GOSPODARSTW ROLNYCH;GODLEWSKI MICHAŁ GODLEWSKI ROMAN KAŹMIERCZAK HENRYK;;B60P;Decyzja o umorzeniu postępowania;
277587;;;1989-02-03;16/1990;1990-08-06;;;Urządzenie do frezowania i szorstkowania gumowej taśmy przenośnikowej;CENTRALNY OŚRODEK BADAWCZO-PROJEKTOWY GÓRNICTWA ODKRYWKOWEGO "POLTEGOR" OŚRODEK NAUKOWO-BADAWCZY;PELCZARSKI ZBIGNIEW SOBOLEWSKI EDMUND;;B29D;Decyzja o umorzeniu postępowania;
